provincia,departamento,cantidad_bp,cantidad_ee,poblacion_total
La Pampa,HUCAL,4,20,7713.0
Santa Cruz,LAGO BUENOS AIRES,1,20,12584.0
La Rioja,CASTRO BARROS,4,19,5810.0
La Pampa,CATRILO,3,19,8225.0
Salta,LOS ANDES,1,19,7182.0
San Juan,9 DE JULIO,1,19,12498.0
Chaco,TAPENAGA,0,18,4051.0
Jujuy,RINCONADA,0,18,1797.0
La Pampa,TRENEL,2,17,5637.0
Neuquén,CATAN LIL,1,17,2641.0
Salta,LA VIÑA,0,17,8888.0
Chubut,TEHUELCHES,2,16,5947.0
Tierra del Fuego,TOLHUIN,0,16,6027.0
Buenos Aires,TORDILLO,1,15,2528.0
Salta,GUACHIPAS,0,15,3491.0
Santa Cruz,MAGALLANES,0,15,12828.0
Neuquén,COLLON CURA,1,14,4832.0
Jujuy,VALLE GRANDE,0,14,2490.0
La Rioja,INDEPENDENCIA,0,14,2399.0
Salta,LA CANDELARIA,2,13,7182.0
Neuquén,PICUN LEUFU,1,13,5087.0
Santiago del Estero,MITRE,0,13,1440.0
Chubut,LANGUIÑEO,1,12,2862.0
Salta,LA POMA,1,12,1789.0
San Juan,ULLUM,1,12,6454.0
San Juan,ZONDA,1,12,6674.0
La Rioja,VINCHINA,0,12,2695.0
Santa Cruz,RIO CHICO,2,11,6271.0
Catamarca,ANTOFAGASTA DE LA SIERRA,0,11,1822.0
Chubut,GASTRE,0,10,1181.0
Corrientes,BERON DE ASTRADA,0,10,2808.0
La Pampa,CHICAL CO,0,10,1461.0
Jujuy,SAN ANTONIO,1,9,6729.0
La Rioja,GENERAL LAMADRID,0,9,1885.0
Chubut,TELSEN,2,8,1608.0
Chubut,PASO DE INDIOS,0,8,1882.0
La Pampa,CURACO,0,8,1103.0
La Pampa,CALEU CALEU,1,7,2611.0
La Pampa,CHALILEO,0,7,2868.0
Chubut,FLORENTINO AMEGHINO,0,5,1782.0
La Pampa,LIMAY MAHUIDA,0,5,413.0
La Pampa,LIHUEL CALEL,1,4,428.0
La Rioja,SANAGASTA,1,3,2994.0
Chubut,MARTIRES,0,3,744.0
Tierra del Fuego,ANTARTIDA ARGENTINA,0,0,0.0
