Cueanexo,Jurisdicción,Código de departamento,Común,Nivel inicial - Jardín maternal,Nivel inicial - Jardín de infantes,Primario,Secundario
20044600,Ciudad de Buenos Aires,2105,1.0,,1.0,1.0,
20044700,Ciudad de Buenos Aires,2111,1.0,,,1.0,
20045100,Ciudad de Buenos Aires,2115,1.0,,,,
20045200,Ciudad de Buenos Aires,2103,,,,,
20045300,Ciudad de Buenos Aires,2103,,,,,
20045500,Ciudad de Buenos Aires,2104,1.0,,1.0,1.0,
20045600,Ciudad de Buenos Aires,2101,1.0,,1.0,1.0,
20045700,Ciudad de Buenos Aires,2101,1.0,,1.0,1.0,
20045800,Ciudad de Buenos Aires,2103,1.0,,,,
20045900,Ciudad de Buenos Aires,2103,,,,,
20046000,Ciudad de Buenos Aires,2113,1.0,,,,1.0
20046100,Ciudad de Buenos Aires,2113,1.0,,,1.0,
20046200,Ciudad de Buenos Aires,2110,1.0,,,1.0,
20046300,Ciudad de Buenos Aires,2112,1.0,,,1.0,
20046400,Ciudad de Buenos Aires,2106,1.0,1.0,1.0,1.0,
20046500,Ciudad de Buenos Aires,2111,,,,,
20046700,Ciudad de Buenos Aires,2113,1.0,1.0,1.0,,
20046702,Ciudad de Buenos Aires,2113,1.0,,1.0,,
20046703,Ciudad de Buenos Aires,2113,1.0,,1.0,,
20046800,Ciudad de Buenos Aires,2104,,,,,
20046900,Ciudad de Buenos Aires,2101,1.0,,,,1.0
20047000,Ciudad de Buenos Aires,2104,1.0,,,1.0,
20047200,Ciudad de Buenos Aires,2104,1.0,,,1.0,
20047300,Ciudad de Buenos Aires,2104,1.0,,,1.0,
20047400,Ciudad de Buenos Aires,2104,1.0,,,1.0,
20047600,Ciudad de Buenos Aires,2104,1.0,,,1.0,
20047700,Ciudad de Buenos Aires,2104,1.0,,1.0,,
20047800,Ciudad de Buenos Aires,2115,1.0,,,,1.0
20047900,Ciudad de Buenos Aires,2114,1.0,1.0,1.0,1.0,1.0
20048000,Ciudad de Buenos Aires,2102,,,,,
20048100,Ciudad de Buenos Aires,2102,1.0,,,1.0,
20048300,Ciudad de Buenos Aires,2114,1.0,,,,1.0
20048400,Ciudad de Buenos Aires,2104,1.0,,,1.0,
20048500,Ciudad de Buenos Aires,2104,1.0,,,1.0,
20048600,Ciudad de Buenos Aires,2111,1.0,1.0,1.0,1.0,1.0
20048700,Ciudad de Buenos Aires,2107,1.0,,,,1.0
